# i si j sj a b distance p sign Re(class) Im(class) Re(target) Im(target) Re(sign_class) Im(sign_class) residual
0 0 55 0 0 55 9 8 1 1.423671853971749 0 1.423671853971769 0 1.423671853971749 0 1.9984014443252818e-14
0 0 56 0 0 56 8 7 1 -0.67935965176948165 0 -0.67935965176951207 0 -0.67935965176948165 0 3.0420110874729289e-14
0 0 57 0 0 57 7 6 1 1.4287857099143846 0 1.4287857099143961 0 1.4287857099143846 0 1.1546319456101628e-14
0 0 58 0 0 58 6 5 1 -0.67262681213945552 0 -0.67262681213947395 0 -0.67262681213945552 0 1.8429702208777599e-14
0 0 59 0 0 59 5 4 1 1.4380193841453996 0 1.4380193841454063 0 1.4380193841453996 0 6.6613381477509392e-15
0 0 60 0 0 60 4 3 1 -0.65922634871850916 0 -0.65922634871853047 0 -0.65922634871850916 0 2.1316282072803006e-14
0 0 61 0 0 61 3 2 1 1.4591568302030655 0 1.4591568302030749 0 1.4591568302030655 0 9.3258734068513149e-15
0 0 62 0 0 62 2 1 1 -0.62106902470630421 0 -0.62106902470631353 0 -0.62106902470630421 0 9.3258734068513149e-15
0 0 63 0 0 63 1 0 1 1.5483719497275521 0 1.5483719497275534 0 1.5483719497275521 0 1.3322676295501878e-15
0 0 0 1 0 64 0 32 1 0 0 0 0 0 0 0
0 0 1 1 0 65 1 33 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 2 1 0 66 2 34 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 3 1 0 67 3 35 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 4 1 0 68 4 36 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 5 1 0 69 5 37 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 6 1 0 70 6 38 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 7 1 0 71 7 39 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 8 1 0 72 8 40 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 9 1 0 73 9 41 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 10 1 0 74 10 42 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 11 1 0 75 11 43 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 12 1 0 76 12 44 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 13 1 0 77 13 45 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 14 1 0 78 14 46 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 15 1 0 79 15 47 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 16 1 0 80 16 48 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 17 1 0 81 17 49 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 18 1 0 82 18 50 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 19 1 0 83 19 51 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 20 1 0 84 20 52 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 21 1 0 85 21 53 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 22 1 0 86 22 54 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 23 1 0 87 23 55 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 24 1 0 88 24 56 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 25 1 0 89 25 57 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 26 1 0 90 26 58 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 27 1 0 91 27 59 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 28 1 0 92 28 60 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 29 1 0 93 29 61 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 30 1 0 94 30 62 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 31 1 0 95 31 63 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 32 1 0 96 32 64 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 33 1 0 97 31 63 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 34 1 0 98 30 62 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 35 1 0 99 29 61 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
0 0 36 1 0 100 28 60 1 0.20703724960773262 0 0.20703724960773262 0 0.20703724960773262 0 0
